timestamp,x,y,z,roll,pitch,yaw,vx,vy,vz,vroll,vpitch,vyaw,linear_velocity,angular_velocity,linear_acceleration,angular_acceleration
1.84,4.59875,-0.7946,0,0,0,0,2.32474,0.155058,0,0,0,0,2.3299,0,3.87277,0
1.85,4.62014,-0.796498,0,0,0,0,2.3361,0.19551,0,0,0,0,2.34427,0,4.58258,0
1.86,4.6411,-0.798041,0,0,0,0,2.35836,0.24032,0,0,0,0,2.37057,0,5.41445,0
1.87,4.66173,-0.799233,0,0,0,0,2.39009,0.289382,0,0,0,0,2.40755,0,6.21609,0
1.88,4.68214,-0.800065,0,0,0,0,2.4294,0.342346,0,0,0,0,2.4534,0,6.88771,0
1.89,4.70246,-0.800519,0,0,0,0,2.47402,0.398616,0,0,0,0,2.50593,0,7.36628,0
1.9,4.72281,-0.80056,0,0,0,0,2.52147,0.45736,0,0,0,0,2.56261,0,7.61535,0
1.91,4.74335,-0.800142,0,0,0,0,2.56917,0.517544,0,0,0,0,2.62078,0,7.62012,0
1.92,4.7642,-0.799209,0,0,0,0,2.61462,0.577976,0,0,0,0,2.67774,0,7.38493,0
1.93,4.78548,-0.797696,0,0,0,0,2.65553,0.637364,0,0,0,0,2.73095,0,6.93173,0
1.94,4.80727,-0.795531,0,0,0,0,2.68991,0.694386,0,0,0,0,2.77809,0,6.29912,0
1.95,4.82966,-0.792648,0,0,0,0,2.71622,0.747764,0,0,0,0,2.81727,0,5.54216,0
1.96,4.85269,-0.788981,0,0,0,0,2.73339,0.796344,0,0,0,0,2.84703,0,4.73374,0
1.97,4.87635,-0.784479,0,0,0,0,2.74091,0.839162,0,0,0,0,2.8665,0,3.96757,0
1.98,4.90063,-0.779102,0,0,0,0,2.7388,0.875511,0,0,0,0,2.87533,0,3.35839,0
1.99,4.92548,-0.772833,0,0,0,0,2.72758,0.904992,0,0,0,0,2.87379,0,3.0166,0
2,4.95082,-0.765676,0,0,0,0,2.70825,0.927542,0,0,0,0,2.86269,0,2.97361,0
2.01,4.97654,-0.757656,0,0,0,0,2.68221,0.943444,0,0,0,0,2.8433,0,3.135,0
2.02,5.00252,-0.748826,0,0,0,0,2.6511,0.953324,0,0,0,0,2.8173,0,3.35336,0
2.03,5.02863,-0.739258,0,0,0,0,2.61676,0.958108,0,0,0,0,2.78665,0,3.51267,0
2.04,5.05473,-0.729043,0,0,0,0,2.58108,0.958981,0,0,0,0,2.75347,0,3.54628,0
2.05,5.08071,-0.718289,0,0,0,0,2.54584,0.95731,0,0,0,0,2.71988,0,3.42646,0
2.06,5.10644,-0.70711,0,0,0,0,2.51269,0.954568,0,0,0,0,2.6879,0,3.15444,0
2.07,5.13182,-0.695624,0,0,0,0,2.48296,0.952248,0,0,0,0,2.6593,0,2.75594,0
2.08,5.15679,-0.683948,0,0,0,0,2.45764,0.951774,0,0,0,0,2.6355,0,2.28398,0
2.09,5.18128,-0.672185,0,0,0,0,2.43733,0.954423,0,0,0,0,2.61754,0,1.83441,0
2.1,5.20527,-0.660426,0,0,0,0,2.4222,0.961249,0,0,0,0,2.60596,0,1.57117,0
2.11,5.22879,-0.64874,0,0,0,0,2.41201,0.973031,0,0,0,0,2.60088,0,1.65641,0
2.12,5.25185,-0.637176,0,0,0,0,2.40617,0.990239,0,0,0,0,2.60196,0,2.0412,0
2.13,5.27452,-0.625753,0,0,0,0,2.40377,1.01302,0,0,0,0,2.60851,0,2.55002,0
2.14,5.29688,-0.614467,0,0,0,0,2.40372,1.04118,0,0,0,0,2.61952,0,3.06293,0
2.15,5.319,-0.603291,0,0,0,0,2.40479,1.07427,0,0,0,0,2.63383,0,3.51987,0
2.16,5.341,-0.592172,0,0,0,0,2.40577,1.11155,0,0,0,0,2.65015,0,3.89288,0
2.17,5.36297,-0.581042,0,0,0,0,2.40556,1.15212,0,0,0,0,2.66723,0,4.17172,0
2.18,5.38498,-0.569818,0,0,0,0,2.40325,1.19494,0,0,0,0,2.68393,0,4.35659,0
2.19,5.40713,-0.558408,0,0,0,0,2.39821,1.23894,0,0,0,0,2.69933,0,4.45334,0
2.2,5.42947,-0.546717,0,0,0,0,2.39016,1.28304,0,0,0,0,2.71276,0,4.46964,0
2.21,5.45205,-0.534652,0,0,0,0,2.37916,1.32628,0,0,0,0,2.72386,0,4.41224,0
2.22,5.47487,-0.522127,0,0,0,0,2.36563,1.36781,0,0,0,0,2.7326,0,4.28565,0
2.23,5.49795,-0.509068,0,0,0,0,2.3503,1.40699,0,0,0,0,2.73925,0,4.09253,0
2.24,5.52126,-0.495414,0,0,0,0,2.33415,1.44337,0,0,0,0,2.74437,0,3.83586,0
2.25,5.54476,-0.48112,0,0,0,0,2.31834,1.47673,0,0,0,0,2.74871,0,3.52235,0
2.26,5.56842,-0.46616,0,0,0,0,2.30407,1.50707,0,0,0,0,2.75317,0,3.16692,0
2.27,5.59217,-0.450524,0,0,0,0,2.29251,1.53456,0,0,0,0,2.75871,0,2.79777,0
2.28,5.61596,-0.43422,0,0,0,0,2.2847,1.55956,0,0,0,0,2.76624,0,2.46117,0
2.29,5.63975,-0.417269,0,0,0,0,2.2814,1.58252,0,0,0,0,2.77654,0,2.22043,0
2.3,5.66349,-0.399707,0,0,0,0,2.28309,1.60394,0,0,0,0,2.79018,0,2.13472,0
2.31,5.68715,-0.381577,0,0,0,0,2.28986,1.62436,0,0,0,0,2.80749,0,2.2151,0
