time,x,y,vx,vy
0.725162,8.10972,0.832388,0.963905,0.0637383
0.726972,8.128,0.833597,1.25507,0.0830212
0.728862,8.15123,0.835134,1.44582,0.0956533
0.730876,8.178,0.836907,1.47591,0.0976442
0.733113,8.20611,0.838767,1.28508,0.085004
0.735883,8.23255,0.840517,0.81311,0.0537424
0.741543,8.2535,0.841904,-0.000264701,-0.00013083
0.742543,8.25416,0.841557,0.12808,-0.0666372
0.744151,8.25844,0.839339,0.456072,-0.236599
0.745848,8.26889,0.833919,0.898149,-0.465679
0.747599,8.28695,0.824557,1.36875,-0.709542
0.749408,8.31291,0.811107,1.78231,-0.92385
0.751299,8.34589,0.79401,2.05327,-1.06427
0.753313,8.38392,0.774303,2.09607,-1.08646
0.75555,8.42385,0.75361,1.82515,-0.946088
0.758319,8.4614,0.734148,1.15494,-0.598817
0.76398,8.49115,0.718725,-0.000123888,-0.00031013
0.764993,8.49205,0.718521,0.173669,-0.0389464
0.766602,8.49784,0.717231,0.617807,-0.137684
0.768298,8.512,0.714079,1.21643,-0.270766
0.770049,8.53646,0.708638,1.85368,-0.412436
0.771859,8.57161,0.700822,2.41369,-0.536937
0.773749,8.61628,0.690888,2.7806,-0.618513
0.775763,8.66777,0.679437,2.83856,-0.631406
0.778,8.72184,0.667413,2.4717,-0.54986
0.780769,8.77269,0.656104,1.56417,-0.348118
0.786429,8.81299,0.647142,9.41563e-05,-0.000422831
0.787429,8.81355,0.646587,0.108246,-0.106617
0.789037,8.81715,0.643043,0.384633,-0.378002
0.790733,8.82597,0.634386,0.757155,-0.743785
0.792484,8.84119,0.619436,1.15371,-1.13317
0.794293,8.86306,0.597956,1.50219,-1.47537
0.796183,8.89086,0.570656,1.7305,-1.69958
0.798197,8.92291,0.539186,1.76654,-1.73501
0.800434,8.95655,0.506142,1.53821,-1.51086
0.803203,8.9882,0.475064,0.973394,-0.95635
0.808861,9.01327,0.450436,3.1552e-06,-0.000675283
0.809889,9.01412,0.450041,0.163633,-0.0755927
0.811497,9.01958,0.447537,0.581799,-0.267049
0.813193,9.03291,0.441426,1.14541,-0.5251
0.814944,9.05594,0.430875,1.74539,-0.799802
0.816754,9.08903,0.415718,2.27264,-1.04121
0.818644,9.13109,0.396455,2.61808,-1.19938
0.820658,9.17957,0.37425,2.67262,-1.22437
0.822895,9.23048,0.350935,2.32717,-1.06624
0.825664,9.27835,0.329006,1.47265,-0.67503
0.831322,9.31629,0.311628,-3.37346e-05,-0.000811542
0.832322,9.3168,0.310881,0.0988115,-0.143359
0.833929,9.3201,0.306121,0.351415,-0.507649
0.835625,9.32815,0.294498,0.69188,-0.99865
0.837376,9.34206,0.274428,1.05431,-1.52133
0.839185,9.36205,0.245593,1.3728,-1.98066
0.841075,9.38746,0.208945,1.58146,-2.28161
0.843089,9.41674,0.1667,1.61439,-2.32914
0.845326,9.44749,0.122342,1.40569,-2.02823
0.848095,9.47641,0.0806247,0.889466,-1.28385
0.853751,9.49933,0.0475649,-0.000182117,-0.000963051
0.854751,9.50002,0.0470059,0.13326,-0.106899
0.856359,9.50447,0.0434651,0.474279,-0.377624
0.858055,9.51534,0.0348237,0.933915,-0.742511
0.859806,9.53412,0.0199046,1.42321,-1.13094
0.861615,9.5611,-0.00152743,1.85319,-1.47228
0.863505,9.5954,-0.0287662,2.13492,-1.6959
0.865519,9.63493,-0.0601636,2.17941,-1.73119
0.867756,9.67645,-0.0931301,1.89772,-1.50752
0.870525,9.71549,-0.124134,1.20089,-0.954256
0.876183,9.74643,-0.148703,-5.44022e-05,-0.000780628
0.877235,9.74733,-0.149035,0.173421,-0.0631369
0.878843,9.75311,-0.151121,0.616749,-0.222491
0.88054,9.76725,-0.15621,1.21428,-0.43727
0.88229,9.79166,-0.164993,1.85036,-0.665902
0.8841,9.82674,-0.177611,2.40935,-0.866814
0.88599,9.87133,-0.193646,2.77559,-0.998435
0.888004,9.92273,-0.212129,2.83344,-1.01919
0.890241,9.9767,-0.231535,2.46724,-0.887513
0.89301,10.0275,-0.249786,1.56135,-0.561825
0.898669,10.0677,-0.264249,0.000119068,-0.000556016
0.899669,10.0683,-0.264897,0.112265,-0.124475
0.901277,10.072,-0.269033,0.398859,-0.441158
0.902973,10.0811,-0.279136,0.785137,-0.867992
0.904724,10.0969,-0.296582,1.19633,-1.32236
0.906533,10.1196,-0.321647,1.55769,-1.72166
0.908423,10.1484,-0.353504,1.79443,-1.98327
0.910437,10.1817,-0.390227,1.83181,-2.02459
0.912674,10.2166,-0.428785,1.59504,-1.76299
0.915443,10.2494,-0.465049,1.00938,-1.11586
0.921101,10.2754,-0.493786,4.61261e-05,-0.000598756
0.922101,10.2762,-0.49407,0.166258,-0.0542859
0.923709,10.2818,-0.495866,0.591022,-0.191486
0.925405,10.2953,-0.500246,1.16353,-0.376407
0.927156,10.3187,-0.507808,1.77298,-0.573257
0.928966,10.3523,-0.518671,2.30855,-0.746244
0.930856,10.395,-0.532476,2.65945,-0.859575
0.932869,10.4443,-0.548389,2.71486,-0.87746
0.935107,10.496,-0.565098,2.36397,-0.764105
0.937876,10.5446,-0.580811,1.49599,-0.483718
0.943535,10.5832,-0.593264,8.96474e-05,-0.000507926
0.944535,10.5838,-0.593792,0.111439,-0.101358
0.946143,10.5875,-0.597159,0.395998,-0.359085
0.947839,10.5965,-0.605381,0.779533,-0.706456
0.949589,10.6122,-0.61958,1.18781,-1.07624
0.951399,10.6347,-0.639979,1.5466,-1.4012
0.953289,10.6634,-0.665906,1.78167,-1.6141
0.955303,10.6963,-0.695793,1.81878,-1.64772
0.95754,10.731,-0.727173,1.5837,-1.43481
0.960309,10.7636,-0.756686,1.0022,-0.908152
0.965967,10.7894,-0.780073,5.20535e-05,-0.000502545
0.966983,10.7903,-0.780187,0.176874,-0.0215569
0.968591,10.7962,-0.780894,0.628754,-0.0753615
0.970287,10.8106,-0.782615,1.23781,-0.147879
0.972038,10.8355,-0.785583,1.88616,-0.225071
0.973848,10.8712,-0.789845,2.45593,-0.292901
0.975738,10.9167,-0.795262,2.82923,-0.33733
0.977752,10.9691,-0.801504,2.88818,-0.344322
0.979989,11.0241,-0.808059,2.51491,-0.299838
0.982758,11.0758,-0.814222,1.59153,-0.189842
0.988418,11.1168,-0.819106,0.000153336,-0.000294127
0.989418,11.1176,-0.819421,0.139392,-0.0604377
0.991026,11.1222,-0.821429,0.495225,-0.214137
0.992722,11.1336,-0.826332,0.974824,-0.421296
0.994473,11.1532,-0.8348,1.48536,-0.641818
0.996283,11.1813,-0.846965,1.93401,-0.835607
0.998173,11.2171,-0.862427,2.22795,-0.962565
1.00019,11.2584,-0.88025,2.27435,-0.982596
1.00242,11.3017,-0.898963,1.98037,-0.855604
1.00519,11.3424,-0.916563,1.25321,-0.541492
1.01085,11.3747,-0.930509,1.90274e-05,-0.000163838
1.01185,11.3752,-0.930442,0.0997762,0.013089
1.01346,11.3785,-0.930001,0.354711,0.0469587
1.01516,11.3867,-0.928923,0.698317,0.0926126
1.01691,11.4007,-0.927059,1.06409,0.141218
1.01872,11.4209,-0.924381,1.38552,0.183941
1.02061,11.4465,-0.920975,1.59611,0.21195
1.02262,11.4761,-0.917049,1.62935,0.216411
1.02486,11.5071,-0.912926,1.41873,0.188492
1.02763,11.5363,-0.909047,0.897755,0.11936
1.03329,11.5594,-0.905972,-9.08099e-05,0.000181693
1.03429,11.5603,-0.906021,0.173368,-0.00961441
1.0359,11.5661,-0.906346,0.616652,-0.0346474
1.03759,11.5802,-0.907142,1.21412,-0.0683842
1.03935,11.6047,-0.908519,1.85014,-0.104292
1.04116,11.6397,-0.910498,2.40908,-0.135837
1.04305,11.6843,-0.913013,2.77528,-0.156487
1.04506,11.7357,-0.915913,2.83312,-0.159709
1.0473,11.7897,-0.918957,2.46696,-0.13897
1.05007,11.8404,-0.921818,1.56116,-0.0877361
1.05573,11.8807,-0.924084,8.59631e-05,0.000524941
1.05673,11.8814,-0.923723,0.141262,0.0691626
1.05833,11.8861,-0.92143,0.502045,0.244572
1.06003,11.8976,-0.915832,0.988317,0.480998
1.06178,11.9175,-0.906166,1.50596,0.732686
1.06359,11.946,-0.89228,1.96086,0.95388
1.06548,11.9823,-0.874632,2.25889,1.09882
1.06749,12.0241,-0.854288,2.30594,1.12177
1.06973,12.0681,-0.832926,2.0079,0.976946
1.0725,12.1094,-0.812834,1.27063,0.618612
1.07816,12.1421,-0.796909,3.68611e-05,0.00100842
1.07916,12.1427,-0.796591,0.123446,0.0605313
1.08076,12.1469,-0.794596,0.438825,0.212646
1.08246,12.1569,-0.789736,0.863899,0.417673
1.08421,12.1743,-0.781349,1.31639,0.635931
1.08602,12.1992,-0.769302,1.71404,0.827739
1.08791,12.231,-0.753992,1.97456,0.953417
1.08992,12.2675,-0.736344,2.01568,0.973284
1.09216,12.3059,-0.717815,1.75512,0.847661
1.09493,12.342,-0.700387,1.11062,0.536866
1.10058,12.3706,-0.686574,-0.000103143,0.00121857
